timestamp,container,cpu_percent,mem_bytes
2026-09-16T14:58:44.447951+00:00,k3d-shared-e2e-test-cluster-server-0,155.15,3522946924
2026-09-16T14:58:50.702506+00:00,k3d-shared-e2e-test-cluster-server-0,118.83,3537979310
2026-09-16T14:58:56.944773+00:00,k3d-shared-e2e-test-cluster-server-0,96.08,3539053051
2026-09-16T14:59:03.192087+00:00,k3d-shared-e2e-test-cluster-server-0,73.36,3543348019
2026-09-16T14:59:09.435021+00:00,k3d-shared-e2e-test-cluster-server-0,120.23,3542274277
2026-09-16T14:59:15.672121+00:00,k3d-shared-e2e-test-cluster-server-0,137.83,3524020666
2026-09-16T14:59:21.912107+00:00,k3d-shared-e2e-test-cluster-server-0,72.03,3500398346
2026-09-16T14:59:28.155925+00:00,k3d-shared-e2e-test-cluster-server-0,117.79,3506840797
2026-09-16T14:59:34.396002+00:00,k3d-shared-e2e-test-cluster-server-0,247.64,3498250862
2026-09-16T14:59:40.632540+00:00,k3d-shared-e2e-test-cluster-server-0,80.63,3501472088
2026-09-16T14:59:46.878481+00:00,k3d-shared-e2e-test-cluster-server-0,98.34,3498250862
2026-09-16T14:59:53.114285+00:00,k3d-shared-e2e-test-cluster-server-0,114.05,3502545829
2026-09-16T14:59:59.352086+00:00,k3d-shared-e2e-test-cluster-server-0,76.01,3491808411
2026-09-16T15:00:05.595178+00:00,k3d-shared-e2e-test-cluster-server-0,188.08,3470333575
2026-09-16T15:00:11.832480+00:00,k3d-shared-e2e-test-cluster-server-0,108.56,3463891124
2026-09-16T15:00:18.072182+00:00,k3d-shared-e2e-test-cluster-server-0,96.33,3449932480
2026-09-16T15:00:24.316214+00:00,k3d-shared-e2e-test-cluster-server-0,199.67,3406982807
2026-09-16T15:00:30.550890+00:00,k3d-shared-e2e-test-cluster-server-0,191.44,3395171647
2026-09-16T15:00:36.786598+00:00,k3d-shared-e2e-test-cluster-server-0,61.97,3311419785
2026-09-16T15:00:43.025832+00:00,k3d-shared-e2e-test-cluster-server-0,489.64,3147137286
2026-09-16T15:00:49.267408+00:00,k3d-shared-e2e-test-cluster-server-0,630.13,3197603151
2026-09-16T15:00:55.547467+00:00,k3d-shared-e2e-test-cluster-server-0,707.37,3216930504
2026-09-16T15:01:01.796804+00:00,k3d-shared-e2e-test-cluster-server-0,135.79,3243774050
2026-09-16T15:01:08.040229+00:00,k3d-shared-e2e-test-cluster-server-0,562.15,3270617595
2026-09-16T15:01:14.277197+00:00,k3d-shared-e2e-test-cluster-server-0,405.86,3271691337
2026-09-16T15:01:20.529475+00:00,k3d-shared-e2e-test-cluster-server-0,700.15,3347927007
2026-09-16T15:01:26.794566+00:00,k3d-shared-e2e-test-cluster-server-0,446.60,3381213003
2026-09-16T15:01:33.035248+00:00,k3d-shared-e2e-test-cluster-server-0,78.85,3409130291
2026-09-16T15:01:39.275861+00:00,k3d-shared-e2e-test-cluster-server-0,92.82,3498250862
2026-09-16T15:01:45.515560+00:00,k3d-shared-e2e-test-cluster-server-0,82.50,3507914539
2026-09-16T15:01:51.750031+00:00,k3d-shared-e2e-test-cluster-server-0,66.07,3525094408
2026-09-16T15:01:57.987869+00:00,k3d-shared-e2e-test-cluster-server-0,76.88,3537979310
2026-09-16T15:02:04.229025+00:00,k3d-shared-e2e-test-cluster-server-0,64.43,3535831826
2026-09-16T15:02:10.466450+00:00,k3d-shared-e2e-test-cluster-server-0,69.88,3557306662
2026-09-16T15:02:16.707045+00:00,k3d-shared-e2e-test-cluster-server-0,63.88,3561601630
2026-09-16T15:02:22.946248+00:00,k3d-shared-e2e-test-cluster-server-0,188.63,3560527888
2026-09-16T15:02:29.182405+00:00,k3d-shared-e2e-test-cluster-server-0,226.31,3549790470
2026-09-16T15:02:35.423988+00:00,k3d-shared-e2e-test-cluster-server-0,177.10,3544421761
2026-09-16T15:02:41.664099+00:00,k3d-shared-e2e-test-cluster-server-0,167.89,3505767055
2026-09-16T15:02:47.904159+00:00,k3d-shared-e2e-test-cluster-server-0,173.87,3535831826
2026-09-16T15:02:54.142566+00:00,k3d-shared-e2e-test-cluster-server-0,68.95,3536905568
2026-09-16T15:03:00.388143+00:00,k3d-shared-e2e-test-cluster-server-0,70.77,3546569244
2026-09-16T15:03:06.630906+00:00,k3d-shared-e2e-test-cluster-server-0,65.66,3543348019
2026-09-16T15:03:12.871415+00:00,k3d-shared-e2e-test-cluster-server-0,103.31,3554085437
2026-09-16T15:03:19.104078+00:00,k3d-shared-e2e-test-cluster-server-0,106.04,3570191564
2026-09-16T15:03:25.343456+00:00,k3d-shared-e2e-test-cluster-server-0,109.22,3574486532
2026-09-16T15:03:31.583623+00:00,k3d-shared-e2e-test-cluster-server-0,117.99,3569117822
2026-09-16T15:03:37.829104+00:00,k3d-shared-e2e-test-cluster-server-0,95.41,3566970339
2026-09-16T15:03:44.068508+00:00,k3d-shared-e2e-test-cluster-server-0,114.67,3566970339
2026-09-16T15:03:50.309039+00:00,k3d-shared-e2e-test-cluster-server-0,112.86,3561601630
2026-09-16T15:03:56.547913+00:00,k3d-shared-e2e-test-cluster-server-0,64.34,3544421761
2026-09-16T15:04:02.804428+00:00,k3d-shared-e2e-test-cluster-server-0,214.15,3556232921
2026-09-16T15:04:09.043987+00:00,k3d-shared-e2e-test-cluster-server-0,137.68,3546569244
2026-09-16T15:04:15.280385+00:00,k3d-shared-e2e-test-cluster-server-0,119.66,3544421761
2026-09-16T15:04:21.520831+00:00,k3d-shared-e2e-test-cluster-server-0,133.07,3526168150
2026-09-16T15:04:27.761681+00:00,k3d-shared-e2e-test-cluster-server-0,83.66,3493955895
2026-09-16T15:04:34.012382+00:00,k3d-shared-e2e-test-cluster-server-0,71.12,3500398346
2026-09-16T15:04:40.256655+00:00,k3d-shared-e2e-test-cluster-server-0,71.43,3495029637
2026-09-16T15:04:46.500523+00:00,k3d-shared-e2e-test-cluster-server-0,78.22,3464964866
2026-09-16T15:04:52.740322+00:00,k3d-shared-e2e-test-cluster-server-0,101.06,3448858738
2026-09-16T15:04:58.980390+00:00,k3d-shared-e2e-test-cluster-server-0,82.17,3435973836
